trainerID,name,level,type
0,Smeargle,60,Normal
1,Smeargle,30,Normal
2,Wailord,57,Water
2,Vileplume,57,Grass
3,Armaldo,47,Rock
3,Cradily,47,Rock
4,Armaldo,56,Rock
4,Cradily,56,Rock
5,Carvanha,21,Water
5,Numel,21,Fire
6,Sandslash,46,Ground
6,Ninetales,46,Fire
7,Weepinbell,24,Grass
7,Gloom,24,Grass
7,Ivysaur,24,Grass
8,Nidorino,39,Poison
8,Nidoking,39,Poison
9,Sandslash,39,Ground
9,Dugtrio,39,Ground
10,Rhyhorn,43,Ground
11,Persian,44,Normal
11,Ninetales,44,Fire
12,Ivysaur,42,Grass
12,Wartortle,42,Water
12,Charmeleon,42,Fire
12,Charizard,42,Fire
13,Exeggutor,43,Grass
13,Cloyster,43,Water
13,Arcanine,43,Fire
14,Parasect,43,Bug
14,Dewgong,43,Water
14,Chansey,43,Normal
15,Kingler,43,Water
15,Tentacruel,43,Water
15,Blastoise,43,Water
16,Bellsprout,43,Grass
16,Weepinbell,43,Grass
16,Victreebel,43,Grass
17,Ivysaur,24,Grass
17,Charmeleon,24,Fire
17,Wartortle,24,Water
18,Charmeleon,27,Fire
19,Rapidash,36,Fire
20,Rapidash,39,Fire
21,Rapidash,43,Fire
22,Magneton,33,Electric
22,Quagsire,31,Water
22,Exeggcute,31,Grass
23,Sandslash,35,Ground
24,Horsea,33,Water
24,Horsea,33,Water
24,Horsea,33,Water
25,Electrode,35,Electric
25,Starmie,35,Water
25,Ninetales,35,Fire
26,Horsea,34,Water
26,Seadra,36,Water
27,Butterfree,25,Bug
27,Bellossom,25,Grass
28,Dragonair,37,Dragon
29,Poliwhirl,28,Water
30,Seadra,37,Water
31,Victreebel,32,Grass
31,Kingler,32,Water
31,Flareon,32,Fire
32,Victreebel,35,Grass
32,Kingler,35,Water
32,Flareon,35,Fire
33,Victreebel,39,Grass
33,Kingler,39,Water
33,Flareon,39,Fire
34,Eevee,26,Normal
34,Vaporeon,22,Water
34,Jolteon,22,Electric
34,Flareon,22,Fire
35,Goldeen,22,Water
35,Seaking,24,Water
36,Parasect,33,Bug
36,Golduck,35,Water
37,Staryu,24,Water
37,Starmie,26,Water
38,Pikachu,36,Electric
38,Blastoise,32,Water
39,Shellder,26,Water
39,Cloyster,28,Water
40,Marill,27,Water
40,Wartortle,24,Water
40,Wartortle,24,Water
41,Rhyhorn,38,Ground
41,Charmeleon,35,Fire
41,Wartortle,35,Water
42,Skiploom,25,Grass
42,Ninetales,25,Fire
43,Dratini,34,Dragon
43,Dragonair,36,Dragon
44,Bulbasaur,32,Grass
44,Ivysaur,32,Grass
44,Venusaur,32,Grass
45,Dragonair,37,Dragon
46,Charmander,26,Fire
46,Bulbasaur,26,Grass
46,Squirtle,26,Water
47,Dratini,34,Dragon
47,Dratini,34,Dragon
47,Dratini,34,Dragon
48,Ivysaur,38,Grass
48,Starmie,38,Water
49,Starmie,31,Water
49,Starmie,31,Water
49,Nidoqueen,33,Poison
50,Starmie,34,Water
50,Starmie,34,Water
50,Nidoqueen,36,Poison
51,Starmie,37,Water
51,Starmie,37,Water
51,Nidoqueen,39,Poison
52,Pidgeot,25,Normal
52,Electabuzz,27,Electric
53,Flareon,35,Fire
53,Tangela,35,Grass
53,Tauros,35,Normal
54,Manectric,43,Electric
54,Muk,43,Poison
55,Gloom,35,Grass
55,Azumarill,35,Water
56,Zangoose,27,Normal
57,Wingull,18,Water
57,Numel,18,Fire
57,Roselia,18,Grass
58,Wingull,26,Water
58,Numel,26,Fire
58,Roselia,26,Grass
59,Pelipper,29,Water
59,Numel,29,Fire
59,Roselia,29,Grass
60,Pelipper,32,Water
60,Numel,32,Fire
