Primary energy by fuel (Mtoe),Oil,Gas,Renewables,Coal,Peat,Wastes Non-Renewable,Electricity Imports
2005,9.13,3.5,0.37,1.88,0.79,0,0.18
2006,8.96,3.97,0.43,1.63,0.76,0,0.15
2007,8.98,4.26,0.49,1.6,0.75,0,0.11
2008,8.93,4.52,0.59,1.41,0.87,0,0.04
2009,7.74,4.3,0.68,1.14,0.86,0.01,0.07
2010,7.29,4.71,0.68,1.23,0.76,0.01,0.04
2011,6.79,4.15,0.83,1.22,0.72,0.01,0.04
2012,6.23,4.04,0.82,1.49,0.79,0.05,0.04
2013,6.28,3.86,0.89,1.31,0.74,0.06,0.19
2014,6.24,3.73,1,1.25,0.78,0.07,0.18
2015,6.65,3.77,1.14,1.47,0.77,0.07,0.06
2016,6.95,4.25,1.14,1.45,0.73,0.07,0
2017,6.87,4.32,1.34,1.15,0.69,0.11,0
2018,7.17,4.48,1.48,0.79,0.69,0.15,0
2019,7.19,4.57,1.65,0.39,0.63,0.15,0.06
2020,6.01,4.56,1.79,0.45,0.42,0.15,0
2021,6.36,4.38,1.65,0.91,0.27,0.14,0.14
